Date,AKRA.JK,ANTM.JK,ASII.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BJBR.JK,BMRI.JK,BTPS.JK,DSNG.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,SMGR.JK,TLKM.JK,UNTR.JK,UNVR.JK
2022-04-22,814.9,2390.36,5494.42,7444.59,4277.3,4106.0,1466.95,1237.81,3745.04,2807.14,570.45,6871.44,7845.19,5586.21,9362.01,1268.67,3670.24,1483.41,5614.68,4030.71,19634.65,3011.49
2022-04-25,810.77,2285.67,5513.91,7562.76,4345.92,4183.8,1541.34,1242.06,3722.41,2878.43,535.07,6989.1,7623.15,5586.21,9338.95,1250.42,3786.76,1511.67,5591.29,4109.23,19166.33,3239.76
2022-04-26,843.86,2180.98,5611.33,7680.93,4391.67,4270.24,1516.54,1246.31,3778.98,2869.52,548.34,7130.3,7105.07,5586.21,9661.78,1332.56,3903.28,1530.5,5989.0,4152.85,19946.86,3415.36
2022-04-27,823.17,2233.33,5552.87,7751.83,4323.05,4192.44,1516.54,1242.06,3722.41,2994.28,548.34,7153.83,7080.4,5630.54,9615.66,1332.56,3883.86,1521.09,6059.18,4161.57,20050.93,3345.12
2022-04-28,885.22,2268.22,5903.58,7680.93,4220.12,4209.73,1524.81,1254.82,4050.53,3074.48,535.07,7177.36,7203.76,5586.21,9661.78,1323.44,3912.99,1544.63,5989.0,4030.71,21004.91,3415.36
2022-05-09,897.63,2207.15,5638.84,7184.62,4037.14,3915.83,1421.5,1220.79,3767.67,2905.16,535.07,6965.57,7080.4,5431.03,9223.65,1254.98,3767.34,1441.03,5731.66,3760.25,20276.42,3520.72
2022-05-10,897.63,2111.19,5598.84,7113.72,4071.44,3915.83,1404.97,1220.79,3665.84,2997.59,503.06,7506.81,6710.35,5674.88,9246.71,1300.62,3709.08,1521.09,5708.26,3786.42,20553.94,3845.57
2022-05-11,901.77,2093.74,5518.86,7231.89,4014.26,3881.25,1388.44,1216.54,3620.58,2997.59,503.06,7812.73,6685.68,5719.21,9684.83,1296.06,3747.92,1539.92,6059.18,3777.7,20970.22,4284.57
2022-05-12,843.86,2032.68,5478.87,6877.39,3751.22,3734.3,1347.12,1203.78,3564.01,2879.5,493.91,7553.88,6562.33,5674.88,9362.01,1232.17,3641.12,1488.12,5872.02,3751.52,20328.45,4117.75
2022-05-13,831.45,2032.68,5698.82,6924.65,3774.09,3673.79,1359.52,1212.28,3530.07,2861.33,498.49,7695.07,6809.03,5719.21,8900.82,1291.49,3621.7,1506.96,5895.42,3716.62,20970.22,4214.33
2022-05-17,843.86,2085.02,5598.84,6995.56,3865.59,3846.67,1376.04,1237.81,3552.7,2870.42,503.06,7365.62,7179.09,5763.55,8854.71,1277.8,3670.24,1530.5,5942.21,3646.83,20866.15,4214.33
2022-05-18,858.16,2093.74,5678.83,7160.99,4002.82,3846.67,1384.31,1237.81,3575.33,2870.42,489.34,7624.47,7006.39,5763.55,9131.42,1277.8,3709.08,1530.5,6059.18,3707.9,21022.26,4411.87
2022-05-19,883.4,2146.09,5598.84,7042.82,3968.51,3838.03,1376.04,1237.81,3575.33,2788.67,512.2,7506.81,7524.47,5719.21,9062.24,1259.55,3631.41,1511.67,5825.23,3673.0,20796.77,4284.57
2022-05-20,862.37,2172.26,5698.82,6995.56,4014.26,3829.38,1371.91,1242.06,3620.58,2770.5,548.79,7577.41,7869.86,5719.21,9131.42,1268.67,3563.44,1530.5,5942.21,3638.1,20744.74,4433.82
