Date,IndONIA (%)
2024-11-18,6.18414
2024-11-19,6.20096
2024-11-20,6.20262
2024-11-21,6.18413
2024-11-22,6.12794
2024-11-25,6.18486
2024-11-26,6.1298
2024-11-28,6.09258
2024-11-29,6.16142
2024-12-02,6.18471
2024-12-03,6.15043
2024-12-04,6.09922
2024-12-05,6.0136
2024-12-06,5.97012
2024-12-09,6.03864
2024-12-10,6.09692
2024-12-11,5.97182
2024-12-12,5.85232
2024-12-13,5.91717
2024-12-16,6.15276
2024-12-17,6.12594
2024-12-18,6.07708
2024-12-19,6.05434
2024-12-20,5.99817
2024-12-23,6.08589
2024-12-24,6.1432
2024-12-27,6.15811
2024-12-30,6.15446
2025-01-02,6.02515
2025-01-03,5.9804
2025-01-06,6.07473
2025-01-07,6.058
2025-01-08,6.04049
2025-01-09,6.05195
2025-01-10,6.05752
2025-01-13,6.15368
2025-01-14,6.034
2025-01-15,5.98521
2025-01-16,5.76889
2025-01-17,5.75356
2025-01-20,5.82416
2025-01-21,5.76612
2025-01-22,5.73229
2025-01-23,5.72848
2025-01-24,5.92257
2025-01-30,5.85987
